0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:24:12 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:24:12 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:26:00 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:26:00 +0530] "GET /Employee/home.css HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:27:51 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:27:52 +0530] "GET /Employee/home.css HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:30:46 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:30:46 +0530] "GET /Employee/home.css HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:31:39 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:31:39 +0530] "GET /Employee/home.css HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:35:24 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:35:24 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:36:35 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:36:36 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:37:24 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:37:24 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:38:32 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:38:32 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:39:16 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:39:16 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:39:55 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:52:08 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:52:08 +0530] "GET /Employee/home.css HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:52:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:54:12 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1775
